,color1,color2,color3,color4,color5
0,0,0,0,0,0
1,50,167,102,175,181
2,155,38,150,92,149
3,125,9,96,59,78
4,194,5,100,6,51
5,103,6,189,196,73
6,34,115,3,141,15
7,4,119,122,75,88
8,177,170,171,144,131
9,41,98,28,137,78
10,2,167,26,56,54
11,53,19,89,94,187
12,191,92,54,126,189
13,117,42,100,53,163
14,126,113,162,107,79
15,134,141,110,105,142
16,105,65,170,22,5
17,148,55,66,115,113
18,114,164,97,67,21
19,168,110,69,145,122
20,47,83,10,88,102
21,187,166,116,186,5
22,128,196,17,185,88
23,190,74,38,127,120
24,157,148,86,111,198
25,154,182,67,140,28
26,43,94,125,44,59
27,127,130,163,9,35
28,192,184,131,144,84
29,167,171,24,140,104
30,88,181,196,195,154
31,115,9,189,193,197
32,135,165,161,190,158
33,99,39,157,15,126
34,92,117,62,114,55
35,185,5,192,80,88
36,130,75,26,145,73
37,93,159,123,156,70
38,77,195,82,89,109
39,92,22,90,1,20
40,66,190,87,32,167
41,155,114,85,116,39
42,170,167,96,57,9
43,97,155,124,12,171
44,25,0,193,194,65
45,174,61,195,25,91
46,107,178,70,129,13
47,157,122,39,87,172
48,99,126,19,48,68
49,47,58,108,185,26
50,81,85,180,13,43
51,56,0,145,88,64
52,181,148,104,15,67
53,192,78,59,62,153
54,10,71,12,138,142
55,93,171,95,9,128
56,134,16,137,136,33
57,50,66,75,188,122
58,70,41,98,148,116
59,98,170,178,191,113
60,52,2,129,91,72
61,95,183,113,5,92
62,192,44,195,129,174
63,33,95,52,73,174
64,86,125,120,181,27
65,50,194,109,86,102
66,199,15,66,114,173
67,39,56,71,65,16
68,24,73,17,149,139
69,47,140,194,181,151
70,116,79,18,149,33
71,126,57,96,45,104
72,177,66,58,53,123
73,172,59,122,170,166
74,67,184,4,185,141
75,150,22,192,147,187
76,56,35,114,6,133
77,130,141,154,17,194
78,156,37,89,148,70
79,192,125,52,198,97
80,69,85,87,13,56
81,155,34,84,74,157
82,174,49,197,179,177
83,109,37,188,158,195
84,130,194,19,186,187
85,184,156,80,104,178
86,151,40,159,194,49
87,113,164,63,7,4
88,142,39,105,98,66
89,50,194,121,34,56
90,115,77,107,133,127
91,97,38,168,175,62
92,191,59,50,61,129
93,33,38,173,1,60
94,54,123,126,36,154
95,25,10,137,198,167
96,60,54,62,102,149
97,41,70,182,2,164
98,42,90,17,192,78
99,58,116,87,57,8
100,47,32,192,110,185
101,180,3,12,104,61
102,128,56,130,123,120
103,135,0,106,95,123
104,129,4,115,169,128
105,70,84,51,184,100
106,15,155,113,87,7
107,138,102,17,131,27
108,160,45,89,13,186
109,195,183,48,130,178
110,82,37,185,64,98
111,18,117,99,184,149
112,195,128,149,18,56
113,175,177,0,47,90
114,86,114,13,58,154
115,40,17,65,33,113
116,89,103,147,5,141
117,69,98,20,107,187
118,110,12,33,142,181
119,184,59,87,178,102
120,142,178,6,117,157
121,22,101,63,138,187
122,88,185,113,167,107
123,186,56,161,18,156
124,160,93,71,101,36
125,42,158,150,114,156
126,2,176,78,25,63
127,70,47,13,93,32
128,168,26,89,22,190
129,101,111,21,171,54
130,103,163,61,154,45
131,150,83,26,76,35
132,27,7,47,42,5
133,195,22,9,128,168
134,89,178,75,1,181
135,14,55,154,56,92
136,31,139,102,182,158
137,161,34,55,9,37
138,153,55,8,74,119
139,106,163,176,183,185
140,135,192,183,67,147
141,24,68,28,194,7
142,162,115,5,14,76
143,196,145,87,119,117
144,142,170,173,153,28
145,185,7,27,195,157
146,142,50,18,129,160
147,188,115,87,143,26
148,192,115,74,104,139
149,16,77,23,51,57
150,111,95,67,1,69
151,74,130,1,92,124
152,85,188,56,173,142
153,5,39,31,54,165
154,161,137,52,143,169
155,186,24,129,113,76
156,40,80,42,105,1
157,77,84,114,122,116
158,23,46,135,32,126
159,82,165,135,124,183
160,167,85,197,175,36
161,107,123,89,145,61
162,186,136,153,122,183
163,141,13,165,81,133
164,129,26,138,12,122
165,17,96,86,34,93
166,158,135,31,162,21
167,180,20,77,72,82
168,41,159,28,0,9
169,18,127,90,132,92
170,183,103,113,5,70
171,41,58,15,177,7
172,54,7,28,128,42
173,72,182,125,46,163
174,187,65,151,92,2
175,81,44,61,178,62
176,159,0,112,90,135
177,125,138,196,51,172
178,7,71,170,197,112
179,58,45,119,84,174
180,81,91,15,139,185
181,166,100,49,188,105
182,117,50,51,0,29
183,199,96,24,135,172
184,60,169,139,108,138
185,27,84,73,118,110
186,34,144,194,121,21
187,154,161,122,107,20
188,20,173,74,22,116
189,151,56,146,82,15
190,4,30,35,11,186
191,39,22,127,1,187
192,91,58,11,158,150
193,61,78,34,27,52
194,96,43,0,30,199
195,185,88,3,85,83
196,132,111,108,37,61
197,142,21,4,145,176
198,159,177,81,136,30
199,78,39,97,178,122
200,65,182,58,25,89
